DATE,Financial Quarter,Compensation,Compensation in Billions
01-01-2005,Q1 2005,287857000000.00,287.857
01-04-2005,Q2 2005,287422000000.00,287.422
01-07-2005,Q3 2005,287332000000.00,287.332
01-10-2005,Q4 2005,288151000000.00,288.151
01-01-2006,Q1 2006,289288000000.00,289.288
01-04-2006,Q2 2006,291385000000.00,291.385
01-07-2006,Q3 2006,294644000000.00,294.644
01-10-2006,Q4 2006,295407000000.00,295.407
01-01-2007,Q1 2007,297813000000.00,297.813
01-04-2007,Q2 2007,300009000000.00,300.009
01-07-2007,Q3 2007,301924000000.00,301.924
01-10-2007,Q4 2007,304535000000.00,304.535
01-01-2008,Q1 2008,308868000000.00,308.868
01-04-2008,Q2 2008,311748000000.00,311.748
01-07-2008,Q3 2008,313674000000.00,313.674
01-10-2008,Q4 2008,316416000000.00,316.416
01-01-2009,Q1 2009,313704000000.00,313.704
01-04-2009,Q2 2009,312758000000.00,312.758
01-07-2009,Q3 2009,314614000000.00,314.614
01-10-2009,Q4 2009,315839000000.00,315.839
01-01-2010,Q1 2010,318920000000.00,318.92
01-04-2010,Q2 2010,321633000000.00,321.633
01-07-2010,Q3 2010,324966000000.00,324.966
01-10-2010,Q4 2010,328086000000.00,328.086
01-01-2011,Q1 2011,332861000000.00,332.861
01-04-2011,Q2 2011,336770000000.00,336.77
01-07-2011,Q3 2011,338807000000.00,338.807
01-10-2011,Q4 2011,341406000000.00,341.406
01-01-2012,Q1 2012,345815000000.00,345.815
01-04-2012,Q2 2012,350388000000.00,350.388
01-07-2012,Q3 2012,352374000000.00,352.374
01-10-2012,Q4 2012,354935000000.00,354.935
01-01-2013,Q1 2013,356218000000.00,356.218
01-04-2013,Q2 2013,359535000000.00,359.535
01-07-2013,Q3 2013,362823000000.00,362.823
01-10-2013,Q4 2013,365595000000.00,365.595
01-01-2014,Q1 2014,370980000000.00,370.98
01-04-2014,Q2 2014,373792000000.00,373.792
01-07-2014,Q3 2014,376976000000.00,376.976
01-10-2014,Q4 2014,380023000000.00,380.023
01-01-2015,Q1 2015,383647000000.00,383.647
01-04-2015,Q2 2015,389360000000.00,389.36
01-07-2015,Q3 2015,392512000000.00,392.512
01-10-2015,Q4 2015,396457000000.00,396.457
01-01-2016,Q1 2016,400049000000.00,400.049
01-04-2016,Q2 2016,403180000000.00,403.18
01-07-2016,Q3 2016,407256000000.00,407.256
01-10-2016,Q4 2016,412245000000.00,412.245
01-01-2017,Q1 2017,416582000000.00,416.582
01-04-2017,Q2 2017,421208000000.00,421.208
01-07-2017,Q3 2017,424877000000.00,424.877
01-10-2017,Q4 2017,430429000000.00,430.429
01-01-2018,Q1 2018,435431000000.00,435.431
01-04-2018,Q2 2018,440640000000.00,440.64
01-07-2018,Q3 2018,445796000000.00,445.796
01-10-2018,Q4 2018,449397000000.00,449.397
01-01-2019,Q1 2019,456687000000.00,456.687
01-04-2019,Q2 2019,462678000000.00,462.678
01-07-2019,Q3 2019,467297000000.00,467.297
01-10-2019,Q4 2019,466774000000.00,466.774
01-01-2020,Q1 2020,469588000000.00,469.588
01-04-2020,Q2 2020,448333000000.00,448.333
01-07-2020,Q3 2020,462574000000.00,462.574
01-10-2020,Q4 2020,468087000000.00,468.087
01-01-2021,Q1 2021,466603000000.00,466.603
01-04-2021,Q2 2021,472151000000.00,472.151
01-07-2021,Q3 2021,484720000000.00,484.72
01-10-2021,Q4 2021,490305000000.00,490.305
01-01-2022,Q1 2022,498339000000.00,498.339
01-04-2022,Q2 2022,498484000000.00,498.484
01-07-2022,Q3 2022,505645000000.00,505.645
01-10-2022,Q4 2022,517282000000.00,517.282
01-01-2023,Q1 2023,531415000000.00,531.415
01-04-2023,Q2 2023,533423000000.00,533.423
01-07-2023,Q3 2023,541260000000.00,541.26
01-10-2023,Q4 2023,548828000000.00,548.828
